"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
"Conta Kia Sun Motors",CP04_carnival_[inicio_01/01],"[Amanita] Always On | KIA | Carnival | AMPLO (ADV)",AD03_carnival_img_[26/01],277844195704332,6819548126415,6880512939215,6974296417015,AD03_carnival_img_[26/01],18-24,female,2026-01-31,2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,9,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP03_ev5_[inicio_01/01],"[Amanita] Always On | KIA | EV5 | ADV+RMKT",AD04_ev5_img_[26/01],277844195704332,6819551408615,6819551408215,6974317588815,AD04_ev5_img_[26/01],18-24,female,2026-01-31,3,3,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.33333333,,0,,"Using campaign budget",Daily,7,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],18-24,female,2026-01-31,2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD05_master_ride_video_[26/09],184629203219671,120231323193670298,120231323193700298,120232168040110298,AD05_master_ride_video_[26/09],18-24,female,2026-01-31,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD05_niro_img_[05/12],277844195704332,6729879019015,6729879019215,6953693449415,AD05_niro_img_[05/12],18-24,female,2026-01-31,1,1,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,30,,0,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP03_gsx-s1000-gx_[inicio_19/09],CJ01_gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120231841911510599,120231841911540599,120236637752440599,AD04_gsx-s1000-gx_img_[08/12],18-24,female,2026-01-31,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,9,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],18-24,female,2026-01-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,30,Daily,"Using ad set budget",,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,male,2026-01-31,107,126,1.17757009,BRL,1.2,"Clique de 7 dias ou visualização de 1 dia",,,,0,9.52380952,,0,,30,Daily,"Using ad set budget",,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo","[Amanita] Always On Haojue - DR160 - card R$ 21.679",184629203219671,120218349708790298,120218349708850298,120223922271160298,"[Amanita] Always On Haojue - DR160 - card R$ 21.679",18-24,male,2026-01-31,153,175,1.14379085,BRL,1.12,"Clique de 7 dias ou visualização de 1 dia",,,,0.57142857,6.4,,1.12,,"Using campaign budget",Daily,25,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,male,2026-01-31,98,108,1.10204082,BRL,0.54,"Clique de 7 dias ou visualização de 1 dia",,,2,2.77777778,5,0.27,0.18,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Zontes",CP08_tactic-400_[inicio_30/11],CJ01_tactic400_Amplo,AD04_tactic400_img_[29/11],7658357130952021,120224545592140714,120224545592160714,120236521361910714,AD04_tactic400_img_[29/11],18-24,male,2026-01-31,25,32,1.28,BRL,0.1,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.125,,0,,"Using campaign budget",Daily,8,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,male,2026-01-31,108,115,1.06481481,BRL,0.46,"Clique de 7 dias ou visualização de 1 dia",,,,2.60869565,4,,0.15333333,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP08_v-strom-650-xt_[inicio_24/11],CJ01_v-strom_650_amplo,AD02_v-strom_img_[08/12],722911362773979,120216828365640599,120216828365630599,120236637457530599,AD02_v-strom_img_[08/12],18-24,male,2026-01-31,7,12,1.71428571,BRL,0.07,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.83333333,,0,,"Using campaign budget",Daily,8,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,male,2026-01-31,5,6,1.2,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,25,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,male,2026-01-31,414,502,1.21256039,BRL,2.11,"Clique de 7 dias ou visualização de 1 dia",2.11,1,3,0.99601594,4.20318725,0.70333333,0.422,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD09_master_ride_img_[06/01],184629203219671,120231323193670298,120231323193700298,120237818457510298,AD09_master_ride_img_[06/01],18-24,male,2026-01-31,91,95,1.04395604,BRL,0.41,"Clique de 7 dias ou visualização de 1 dia",0.41,1,1,2.10526316,4.31578947,0.41,0.205,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD010_nk150_img_[06/01],184629203219671,120231793936550298,120231793936530298,120237818652800298,AD010_nk150_img_[06/01],18-24,male,2026-01-31,229,256,1.11790393,BRL,0.86,"Clique de 7 dias ou visualização de 1 dia",,,1,0.78125,3.359375,0.86,0.43,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP05_v-strom-800-de_[inicio_01/01],"[Amanita] Suzuki - V-Strom 800 DE | Amplo",AD04_v-strom800_img_[12/01],722911362773979,120222759633540599,120222759633660599,120238430715580599,AD04_v-strom800_img_[12/01],18-24,male,2026-01-31,16,20,1.25,BRL,0.23,"Clique de 7 dias ou visualização de 1 dia",,,,0,11.5,,0,,"Using campaign budget",Daily,10,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD010_sportage_img_[06/01],277844195704332,6915514980415,6915514981215,6966762783815,AD010_sportage_img_[06/01],18-24,male,2026-01-31,8,14,1.75,BRL,0.11,"Clique de 7 dias ou visualização de 1 dia",,,,0,7.85714286,,0,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD04_bongo_img_[12/01],277844195704332,6662637016215,6662637322615,6969064719015,AD04_bongo_img_[12/01],18-24,male,2026-01-31,2,2,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,30,Daily,"Using ad set budget",,2026-01-31,2026-01-31
