"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD05_bongo_img_[12/01],277844195704332,6662637016215,6662637322615,6969065448215,AD05_bongo_img_[12/01],18-24,male,2026-01-31,45,71,1.57777778,BRL,0.18,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.53521127,,0,,30,Daily,"Using ad set budget",,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD06_niro_img_[12/01],277844195704332,6729879019015,6729879019215,6969084154015,AD06_niro_img_[12/01],18-24,male,2026-01-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP04_carnival_[inicio_01/01],"[Amanita] Always On | KIA | Carnival | AMPLO (ADV)",AD03_carnival_img_[26/01],277844195704332,6819548126415,6880512939215,6974296417015,AD03_carnival_img_[26/01],18-24,male,2026-01-31,9,9,1,BRL,0.18,"Clique de 7 dias ou visualização de 1 dia",,,,0,20,,0,,"Using campaign budget",Daily,9,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP03_ev5_[inicio_01/01],"[Amanita] Always On | KIA | EV5 | ADV+RMKT",AD04_ev5_img_[26/01],277844195704332,6819551408615,6819551408215,6974317588815,AD04_ev5_img_[26/01],18-24,male,2026-01-31,14,19,1.35714286,BRL,0.17,"Clique de 7 dias ou visualização de 1 dia",,,,0,8.94736842,,0,,"Using campaign budget",Daily,7,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],18-24,male,2026-01-31,21,35,1.66666667,BRL,0.21,"Clique de 7 dias ou visualização de 1 dia",,,,0,6,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD05_master_ride_video_[26/09],184629203219671,120231323193670298,120231323193700298,120232168040110298,AD05_master_ride_video_[26/09],18-24,male,2026-01-31,18,19,1.05555556,BRL,0.24,"Clique de 7 dias ou visualização de 1 dia",,,,0,12.63157895,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD05_niro_img_[05/12],277844195704332,6729879019015,6729879019215,6953693449415,AD05_niro_img_[05/12],18-24,male,2026-01-31,2,2,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP03_gsx-s1000-gx_[inicio_19/09],CJ01_gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120231841911510599,120231841911540599,120236637752440599,AD04_gsx-s1000-gx_img_[08/12],18-24,male,2026-01-31,15,18,1.2,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",,,,5.55555556,2.22222222,,0.04,,"Using campaign budget",Daily,9,Daily,2026-01-31,2026-01-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],18-24,male,2026-01-31,9,10,1.11111111,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,30,Daily,"Using ad set budget",,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo","[Amanita] Always On Haojue - DR160 - card R$ 21.679",184629203219671,120218349708790298,120218349708850298,120223922271160298,"[Amanita] Always On Haojue - DR160 - card R$ 21.679",18-24,unknown,2026-01-31,1,3,3,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,25,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,unknown,2026-01-31,1,2,2,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,unknown,2026-01-31,2,3,1.5,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.33333333,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
