"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Encerramento dos relatórios"
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD09_niro_img_[18/02],277844195704332,6729879019015,6729879019215,6983252644415,AD09_niro_img_[18/02],18-24,female,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD08_bongo_img_[03/03],277844195704332,6662637016215,6662637322615,6990343348815,AD08_bongo_img_[03/03],18-24,female,2026-03-31,10,14,1.4,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.57142857,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD015_sportage_img_[04/03],277844195704332,6915514980415,6915514981215,6991218029015,AD015_sportage_img_[04/03],18-24,female,2026-03-31,10,12,1.2,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",,,,0,4.16666667,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD04_seminovos_carrossel_[20/03],277844195704332,6980813028015,6980813028615,6999332623815,AD04_seminovos_carrossel_[20/03],18-24,female,2026-03-31,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD03_seminovos_img_[20/03],277844195704332,6980813028015,6980813028615,6999332290015,AD03_seminovos_img_[20/03],18-24,female,2026-03-31,3,4,1.33333333,BRL,0.22,"Clique de 7 dias ou visualização de 1 dia",,,,0,55,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,male,2026-03-31,55,64,1.16363636,BRL,0.38,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.9375,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,male,2026-03-31,238,255,1.07142857,BRL,1.41,"Clique de 7 dias ou visualização de 1 dia",0.705,2,4,2.74509804,5.52941176,0.3525,0.20142857,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],18-24,male,2026-03-31,62,80,1.29032258,BRL,0.46,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.75,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],18-24,male,2026-03-31,71,84,1.18309859,BRL,0.28,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.33333333,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,male,2026-03-31,396,461,1.16414141,BRL,2.54,"Clique de 7 dias ou visualização de 1 dia",,,2,0.86767896,5.50976139,1.27,0.635,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,male,2026-03-31,870,1033,1.18735632,BRL,5.11,"Clique de 7 dias ou visualização de 1 dia",5.11,1,3,0.48402711,4.94675702,1.70333333,1.022,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,male,2026-03-31,404,454,1.12376238,BRL,1.63,"Clique de 7 dias ou visualização de 1 dia",,,,0.22026432,3.59030837,,1.63,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
