"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Encerramento dos relatórios"
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],45-54,unknown,2026-03-31,2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP02_v-350_[inicio_01/01],"01 - amplo",AD05_v350_img_[13/01],7658357130952021,120212510922970714,120212510922950714,120238669724190714,AD05_v350_img_[13/01],45-54,unknown,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,9,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD07_dk160_img_[05/03],184629203219671,120233157487530298,120233157487570298,120240273002990298,AD07_dk160_img_[05/03],45-54,unknown,2026-03-31,2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP03_e-350_[inicio_01/01],"[Amanita] Zontes - 350 Scooter - AMPLO",AD10_e350_img_[04/03],7658357130952021,120228803541830714,120228803541820714,120240463183430714,AD10_e350_img_[04/03],45-54,unknown,2026-03-31,2,3,1.5,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,6.66666667,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD07_t350_img_[04/03]_com_preco,7658357130952021,120224545259140714,120224545259250714,120240463253460714,AD07_t350_img_[04/03]_com_preco,45-54,unknown,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[04/03],722911362773979,120239355257350599,120239355257340599,120240558726840599,AD04_gsx-s1000-gx_img_[04/03],45-54,unknown,2026-03-31,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD09_niro_img_[18/02],277844195704332,6729879019015,6729879019215,6983252644415,AD09_niro_img_[18/02],45-54,unknown,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD08_bongo_img_[03/03],277844195704332,6662637016215,6662637322615,6990343348815,AD08_bongo_img_[03/03],45-54,unknown,2026-03-31,3,7,2.33333333,BRL,0.07,"Clique de 7 dias ou visualização de 1 dia",,,,14.28571429,10,,0.07,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD04_seminovos_carrossel_[20/03],277844195704332,6980813028015,6980813028615,6999332623815,AD04_seminovos_carrossel_[20/03],45-54,unknown,2026-03-31,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],45-54,unknown,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",55-64,female,2026-03-31,4,4,1,BRL,0.08,"Clique de 7 dias ou visualização de 1 dia",,,,0,20,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",55-64,female,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],55-64,female,2026-03-31,12,12,1,BRL,0.19,"Clique de 7 dias ou visualização de 1 dia",0.19,1,1,16.66666667,15.83333333,0.19,0.095,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],55-64,female,2026-03-31,22,29,1.31818182,BRL,0.13,"Clique de 7 dias ou visualização de 1 dia",,,1,3.44827586,4.48275862,0.13,0.13,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],55-64,female,2026-03-31,7,7,1,BRL,0.08,"Clique de 7 dias ou visualização de 1 dia",,,,0,11.42857143,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],55-64,female,2026-03-31,6,6,1,BRL,0.09,"Clique de 7 dias ou visualização de 1 dia",,,,0,15,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],55-64,female,2026-03-31,7,7,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,1,14.28571429,4.28571429,0.03,0.03,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],55-64,female,2026-03-31,4,5,1.25,BRL,0.08,"Clique de 7 dias ou visualização de 1 dia",,,,0,16,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD06_t350_img_[13/01]_com_preco,7658357130952021,120224545259140714,120224545259250714,120238669666370714,AD06_t350_img_[13/01]_com_preco,55-64,female,2026-03-31,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP02_v-350_[inicio_01/01],"01 - amplo",AD05_v350_img_[13/01],7658357130952021,120212510922970714,120212510922950714,120238669724190714,AD05_v350_img_[13/01],55-64,female,2026-03-31,1,2,2,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,1,50,30,0.06,0.06,,"Using campaign budget",Daily,9,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD07_dk160_img_[05/03],184629203219671,120233157487530298,120233157487570298,120240273002990298,AD07_dk160_img_[05/03],55-64,female,2026-03-31,7,7,1,BRL,0.23,"Clique de 7 dias ou visualização de 1 dia",,,,0,32.85714286,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP03_e-350_[inicio_01/01],"[Amanita] Zontes - 350 Scooter - AMPLO",AD10_e350_img_[04/03],7658357130952021,120228803541830714,120228803541820714,120240463183430714,AD10_e350_img_[04/03],55-64,female,2026-03-31,38,48,1.26315789,BRL,0.53,"Clique de 7 dias ou visualização de 1 dia",0.53,1,4,14.58333333,11.04166667,0.1325,0.07571429,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD07_t350_img_[04/03]_com_preco,7658357130952021,120224545259140714,120224545259250714,120240463253460714,AD07_t350_img_[04/03]_com_preco,55-64,female,2026-03-31,3,3,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP02_stonic_[inicio_01/01],"[Amanita] Always On | KIA STONIC | Amplo",AD06_stonic_img_[14/01],277844195704332,6875080103815,6875080104415,6969866674215,AD06_stonic_img_[14/01],55-64,female,2026-03-31,2,2,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,15,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],55-64,female,2026-03-31,79,107,1.35443038,BRL,0.72,"Clique de 7 dias ou visualização de 1 dia",,,,0.93457944,6.72897196,,0.72,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD09_niro_img_[18/02],277844195704332,6729879019015,6729879019215,6983252644415,AD09_niro_img_[18/02],55-64,female,2026-03-31,11,11,1,BRL,0.23,"Clique de 7 dias ou visualização de 1 dia",,,,0,20.90909091,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD08_bongo_img_[03/03],277844195704332,6662637016215,6662637322615,6990343348815,AD08_bongo_img_[03/03],55-64,female,2026-03-31,24,26,1.08333333,BRL,0.35,"Clique de 7 dias ou visualização de 1 dia",,,,0,13.46153846,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD015_sportage_img_[04/03],277844195704332,6915514980415,6915514981215,6991218029015,AD015_sportage_img_[04/03],55-64,female,2026-03-31,32,33,1.03125,BRL,0.41,"Clique de 7 dias ou visualização de 1 dia",,,,0,12.42424242,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP02_stonic_[inicio_01/01],"[Amanita] Always On | KIA STONIC | Amplo",AD07_stonic_img_[17/03],277844195704332,6875080103815,6875080104415,6997622580215,AD07_stonic_img_[17/03],55-64,female,2026-03-31,7,7,1,BRL,0.11,"Clique de 7 dias ou visualização de 1 dia",,,,0,15.71428571,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD05_niro_img_[05/12],277844195704332,6729879019015,6729879019215,6953693449415,AD05_niro_img_[05/12],55-64,female,2026-03-31,2,2,1,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",,,,0,20,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD04_seminovos_carrossel_[20/03],277844195704332,6980813028015,6980813028615,6999332623815,AD04_seminovos_carrossel_[20/03],55-64,female,2026-03-31,5,5,1,BRL,0.17,"Clique de 7 dias ou visualização de 1 dia",,,,0,34,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],55-64,female,2026-03-31,4,6,1.5,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.33333333,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD03_seminovos_img_[20/03],277844195704332,6980813028015,6980813028615,6999332290015,AD03_seminovos_img_[20/03],55-64,female,2026-03-31,25,28,1.12,BRL,0.57,"Clique de 7 dias ou visualização de 1 dia",,,1,7.14285714,20.35714286,0.57,0.285,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",55-64,male,2026-03-31,40,42,1.05,BRL,0.41,"Clique de 7 dias ou visualização de 1 dia",,,,4.76190476,9.76190476,,0.205,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD09_bongo_video_[05/03],277844195704332,6662637016215,6662637322615,6991828947415,AD09_bongo_video_[05/03],55-64,male,2026-03-31,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",55-64,male,2026-03-31,121,151,1.24793388,BRL,2.21,"Clique de 7 dias ou visualização de 1 dia",2.21,1,2,1.98675497,14.63576159,1.105,0.73666667,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],55-64,male,2026-03-31,263,321,1.22053232,BRL,5.47,"Clique de 7 dias ou visualização de 1 dia",,,7,2.18068536,17.04049844,0.78142857,0.78142857,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],55-64,male,2026-03-31,454,581,1.27973568,BRL,4.46,"Clique de 7 dias ou visualização de 1 dia",,,10,2.75387263,7.67641997,0.446,0.27875,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],55-64,male,2026-03-31,152,182,1.19736842,BRL,2.87,"Clique de 7 dias ou visualização de 1 dia",,,1,1.64835165,15.76923077,2.87,0.95666667,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],55-64,male,2026-03-31,66,70,1.06060606,BRL,1.39,"Clique de 7 dias ou visualização de 1 dia",,,,0,19.85714286,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],55-64,male,2026-03-31,94,102,1.08510638,BRL,1.75,"Clique de 7 dias ou visualização de 1 dia",,,1,2.94117647,17.15686275,1.75,0.58333333,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],55-64,male,2026-03-31,95,109,1.14736842,BRL,1.39,"Clique de 7 dias ou visualização de 1 dia",,,7,5.50458716,12.75229358,0.19857143,0.23166667,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD06_t350_img_[13/01]_com_preco,7658357130952021,120224545259140714,120224545259250714,120238669666370714,AD06_t350_img_[13/01]_com_preco,55-64,male,2026-03-31,41,45,1.09756098,BRL,0.4,"Clique de 7 dias ou visualização de 1 dia",,,,0,8.88888889,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP02_v-350_[inicio_01/01],"01 - amplo",AD05_v350_img_[13/01],7658357130952021,120212510922970714,120212510922950714,120238669724190714,AD05_v350_img_[13/01],55-64,male,2026-03-31,39,40,1.02564103,BRL,0.36,"Clique de 7 dias ou visualização de 1 dia",,,,2.5,9,,0.36,,"Using campaign budget",Daily,9,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD10_master_ride_img_[05/02],184629203219671,120231323193670298,120231323193700298,120238979706070298,AD10_master_ride_img_[05/02],55-64,male,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD011_nk150_img_[05/03],184629203219671,120231793936550298,120231793936530298,120240269904510298,AD011_nk150_img_[05/03],55-64,male,2026-03-31,18,21,1.16666667,BRL,0.51,"Clique de 7 dias ou visualização de 1 dia",,,,0,24.28571429,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD07_dk160_img_[05/03],184629203219671,120233157487530298,120233157487570298,120240273002990298,AD07_dk160_img_[05/03],55-64,male,2026-03-31,109,122,1.11926606,BRL,0.92,"Clique de 7 dias ou visualização de 1 dia",,,3,4.09836066,7.54098361,0.30666667,0.184,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP03_e-350_[inicio_01/01],"[Amanita] Zontes - 350 Scooter - AMPLO",AD10_e350_img_[04/03],7658357130952021,120228803541830714,120228803541820714,120240463183430714,AD10_e350_img_[04/03],55-64,male,2026-03-31,263,333,1.2661597,BRL,2.64,"Clique de 7 dias ou visualização de 1 dia",1.32,2,8,3.9039039,7.92792793,0.33,0.20307692,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD07_t350_img_[04/03]_com_preco,7658357130952021,120224545259140714,120224545259250714,120240463253460714,AD07_t350_img_[04/03]_com_preco,55-64,male,2026-03-31,167,195,1.16766467,BRL,2.32,"Clique de 7 dias ou visualização de 1 dia",,,1,0.51282051,11.8974359,2.32,2.32,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP02_v-350_[inicio_01/01],"01 - amplo",AD06_v350_img_[04/03]_com_preco,7658357130952021,120212510922970714,120212510922950714,120240463508870714,AD06_v350_img_[04/03]_com_preco,55-64,male,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,9,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[04/03],722911362773979,120239355257350599,120239355257340599,120240558726840599,AD04_gsx-s1000-gx_img_[04/03],55-64,male,2026-03-31,17,19,1.11764706,BRL,0.14,"Clique de 7 dias ou visualização de 1 dia",,,,0,7.36842105,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP02_stonic_[inicio_01/01],"[Amanita] Always On | KIA STONIC | Amplo",AD06_stonic_img_[14/01],277844195704332,6875080103815,6875080104415,6969866674215,AD06_stonic_img_[14/01],55-64,male,2026-03-31,6,6,1,BRL,0.26,"Clique de 7 dias ou visualização de 1 dia",,,,0,43.33333333,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],55-64,male,2026-03-31,82,96,1.17073171,BRL,0.96,"Clique de 7 dias ou visualização de 1 dia",0.96,1,3,4.16666667,10,0.32,0.24,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD09_niro_img_[18/02],277844195704332,6729879019015,6729879019215,6983252644415,AD09_niro_img_[18/02],55-64,male,2026-03-31,141,156,1.10638298,BRL,2.44,"Clique de 7 dias ou visualização de 1 dia",2.44,1,1,3.20512821,15.64102564,2.44,0.488,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD08_bongo_img_[03/03],277844195704332,6662637016215,6662637322615,6990343348815,AD08_bongo_img_[03/03],55-64,male,2026-03-31,489,619,1.26584867,BRL,5.77,"Clique de 7 dias ou visualização de 1 dia",5.77,1,5,1.61550889,9.32148627,1.154,0.577,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD014_sportage_img_[04/03],277844195704332,6915514980415,6915514981215,6991217259415,AD014_sportage_img_[04/03],55-64,male,2026-03-31,4,5,1.25,BRL,0.16,"Clique de 7 dias ou visualização de 1 dia",,,,0,32,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD015_sportage_img_[04/03],277844195704332,6915514980415,6915514981215,6991218029015,AD015_sportage_img_[04/03],55-64,male,2026-03-31,114,148,1.29824561,BRL,1.36,"Clique de 7 dias ou visualização de 1 dia",,,,0,9.18918919,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP02_stonic_[inicio_01/01],"[Amanita] Always On | KIA STONIC | Amplo",AD07_stonic_img_[17/03],277844195704332,6875080103815,6875080104415,6997622580215,AD07_stonic_img_[17/03],55-64,male,2026-03-31,52,63,1.21153846,BRL,1.42,"Clique de 7 dias ou visualização de 1 dia",,,1,1.58730159,22.53968254,1.42,1.42,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD05_niro_img_[05/12],277844195704332,6729879019015,6729879019215,6953693449415,AD05_niro_img_[05/12],55-64,male,2026-03-31,12,12,1,BRL,0.41,"Clique de 7 dias ou visualização de 1 dia",,,,0,34.16666667,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD04_seminovos_carrossel_[20/03],277844195704332,6980813028015,6980813028615,6999332623815,AD04_seminovos_carrossel_[20/03],55-64,male,2026-03-31,69,75,1.08695652,BRL,1.55,"Clique de 7 dias ou visualização de 1 dia",0.775,2,8,12,20.66666667,0.19375,0.17222222,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],55-64,male,2026-03-31,8,10,1.25,BRL,0.09,"Clique de 7 dias ou visualização de 1 dia",,,1,10,9,0.09,0.09,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD03_seminovos_img_[20/03],277844195704332,6980813028015,6980813028615,6999332290015,AD03_seminovos_img_[20/03],55-64,male,2026-03-31,128,169,1.3203125,BRL,3.15,"Clique de 7 dias ou visualização de 1 dia",3.15,1,9,7.69230769,18.63905325,0.35,0.24230769,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],55-64,unknown,2026-03-31,2,2,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,15,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],55-64,unknown,2026-03-31,1,2,2,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
