"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD010_sportage_img_[06/01],277844195704332,6915514980415,6915514981215,6966762783815,AD010_sportage_img_[06/01],18-24,female,2026-02-28,5,5,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,4,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD04_bongo_img_[12/01],277844195704332,6662637016215,6662637322615,6969064719015,AD04_bongo_img_[12/01],18-24,female,2026-02-28,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP04_carnival_[inicio_01/01],"[Amanita] Always On | KIA | Carnival | AMPLO (ADV)",AD03_carnival_img_[26/01],277844195704332,6819548126415,6880512939215,6974296417015,AD03_carnival_img_[26/01],18-24,female,2026-02-28,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,9,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP03_ev5_[inicio_01/01],"[Amanita] Always On | KIA | EV5 | ADV+RMKT",AD04_ev5_img_[26/01],277844195704332,6819551408615,6819551408215,6974317588815,AD04_ev5_img_[26/01],18-24,female,2026-02-28,4,5,1.25,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,1,20,2,0.01,0.01,,"Using campaign budget",Daily,7,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],18-24,female,2026-02-28,30,36,1.2,BRL,0.19,"Clique de 7 dias ou visualização de 1 dia",,,1,2.77777778,5.27777778,0.19,0.19,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],18-24,female,2026-02-28,5,7,1.4,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,4.28571429,,0,,"Using campaign budget",Daily,18,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],18-24,female,2026-02-28,2,3,1.5,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,male,2026-02-28,52,56,1.07692308,BRL,0.37,"Clique de 7 dias ou visualização de 1 dia",,,,1.78571429,6.60714286,,0.37,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,male,2026-02-28,102,113,1.10784314,BRL,0.73,"Clique de 7 dias ou visualização de 1 dia",,,1,0.88495575,6.46017699,0.73,0.73,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD07_bongo_video_[19/02],277844195704332,6662637016215,6662637322615,6983267035215,AD07_bongo_video_[19/02],18-24,male,2026-02-28,23,30,1.30434783,BRL,0.2,"Clique de 7 dias ou visualização de 1 dia",,,1,3.33333333,6.66666667,0.2,0.2,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
