Relatório de campanha
1 de setembro de 2025 - 30 de setembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-09-08,Total: Performance Max,,,,,,,,Performance Max,BRL,"223,25","0,14","85,45","2,61",24.320,1.567,"9,18","6,44%",933,"0,24"
2025-09-29,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-15,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-29,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"85,87","0,45","15,00","5,72",2.434,191,"35,28","7,85%",191,"0,45"
2025-09-22,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"286,38","0,40","51,00","5,62",14.119,714,"20,28","5,06%",714,"0,40"
2025-09-22,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-01,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"281,17","0,30","68,01","4,13",18.111,931,"15,53","5,14%",931,"0,30"
2025-09-22,Total: Performance Max,,,,,,,,Performance Max,BRL,"195,92","0,13","75,24","2,60",37.051,1.482,"5,29","4,00%",1.011,"0,19"
2025-09-15,Total: Performance Max,,,,,,,,Performance Max,BRL,"208,25","0,12","88,57","2,35",29.470,1.792,"7,07","6,08%",1.095,"0,19"
2025-09-15,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-15,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-29,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-22,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
