Relatório de campanha
1 de agosto de 2025 - 31 de agosto de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-08-04,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-04,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-04,Total: Performance Max,,,,,,,,Performance Max,BRL,"208,35","0,14","51,11","4,08",21.838,1.467,"9,54","6,72%",894,"0,23"
2025-07-28,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"96,34","0,26","31,00","3,11",4.623,366,"20,84","7,92%",366,"0,26"
2025-07-28,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-25,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-18,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"274,24","0,29","58,00","4,73",17.729,931,"15,47","5,25%",931,"0,29"
2025-08-25,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-07-28,Total: Performance Max,,,,,,,,Performance Max,BRL,"93,57","0,10","48,03","1,95",9.720,893,"9,63","9,19%",513,"0,18"
2025-08-18,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-11,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-25,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"302,49","0,38","64,70","4,68",13.736,801,"22,02","5,83%",801,"0,38"
2025-08-11,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-08-04,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
