Relatório de campanha
1 de novembro de 2025 - 30 de novembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-11-03,Total: Performance Max,,,,,,,,Performance Max,BRL,"218,55","0,14","55,00","3,97",39.432,1.574,"5,54","3,99%",1.183,"0,18"
2025-11-10,Total: Performance Max,,,,,,,,Performance Max,BRL,"186,08","0,16","62,34","2,99",18.650,1.150,"9,98","6,17%",746,"0,25"
2025-11-17,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-10-27,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"90,27","0,39","16,00","5,64",3.811,230,"23,69","6,04%",230,"0,39"
2025-11-03,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-10-27,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-17,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"275,44","0,44","56,00","4,92",8.918,623,"30,89","6,99%",623,"0,44"
2025-11-24,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"375,23","0,46","70,01","5,36",11.249,820,"33,36","7,29%",820,"0,46"
2025-11-10,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"320,35","0,44","73,25","4,37",13.043,732,"24,56","5,61%",732,"0,44"
2025-11-10,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-17,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-17,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-17,Total: Performance Max,,,,,,,,Performance Max,BRL,"177,75","0,16","76,24","2,33",28.368,1.127,"6,27","3,97%",913,"0,19"
2025-10-27,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-03,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-10,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-24,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-10,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-24,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
